date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-09,PR,Siqueira Campos,city,15,4,True,21016,4126603,71.37419,0.2667
2020-06-09,PR,Tamarana,city,2,1,True,14797,4126678,13.51625,0.5
2020-06-09,PR,Tamboara,city,28,1,True,5120,4126702,546.875,0.0357
2020-06-09,PR,Tapejara,city,30,0,True,16205,4126801,185.12805,0.0
2020-06-09,PR,Telêmaco Borba,city,39,1,True,78974,4127106,49.38334,0.0256
2020-06-09,PR,Terra Boa,city,12,1,True,17094,4127205,70.20007,0.0833
2020-06-09,PR,Terra Rica,city,25,1,True,16789,4127304,148.90702,0.04
2020-06-09,PR,Terra Roxa,city,2,0,True,17481,4127403,11.44099,0.0
2020-06-09,PR,Tibagi,city,1,0,True,20522,4127502,4.87282,0.0
2020-06-09,PR,Tijucas do Sul,city,32,0,True,16868,4127601,189.70832,0.0
2020-06-09,PR,Toledo,city,110,2,True,140635,4127700,78.21666,0.0182
2020-06-09,PR,Tomazina,city,13,0,True,7918,4127809,164.18287,0.0
2020-06-09,PR,Três Barras do Paraná,city,15,0,True,12040,4127858,124.58472,0.0
2020-06-09,PR,Tuneiras do Oeste,city,23,0,True,8566,4127908,268.50339,0.0
2020-06-09,PR,Tupãssi,city,10,0,True,8124,4127957,123.09207,0.0
2020-06-09,PR,Umuarama,city,44,1,True,111557,4128104,39.44172,0.0227
2020-06-09,PR,União da Vitória,city,14,0,True,57517,4128203,24.34063,0.0
2020-06-09,PR,Uraí,city,17,1,True,11314,4128401,150.25632,0.0588
2020-06-09,PR,Vera Cruz do Oeste,city,3,0,True,8521,4128559,35.20714,0.0
2020-06-09,PR,Verê,city,3,1,True,7257,4128609,41.3394,0.3333
2020-06-09,PR,Virmond,city,2,0,True,4023,4128658,49.71414,0.0
2020-06-09,PR,Vitorino,city,2,0,True,6838,4128708,29.24832,0.0
2020-06-09,PR,Wenceslau Braz,city,11,0,True,19414,4128500,56.66014,0.0
